H0,S3,weight,group_id
901710,2822,0.0,12
901720,2822,0.0,12
901730,2822,0.0,12
901780,2822,0.0,12
901790,2822,0.0,12
901831,2822,0.0,12
901832,2822,0.0,12
901839,2822,0.0,12
901850,2822,0.0,12
901890,2822,0.0,12
903110,2822,0.0,12
903120,2822,0.0,12
903130,2822,0.0,12
903140,2822,0.0,12
903180,2822,0.0,12
903190,2822,0.0,12
281410,2823,0.0,12
281420,2823,0.0,12
281511,2823,0.0,12
281512,2823,0.0,12
281520,2823,0.0,12
281530,2823,0.0,12
281610,2823,0.0,12
281620,2823,0.0,12
281630,2823,0.0,12
281810,2823,0.0,12
281830,2823,0.0,12
282510,2823,0.0,12
282520,2823,0.0,12
282530,2823,0.0,12
282540,2823,0.0,12
282550,2823,0.0,12
282560,2823,0.0,12
282570,2823,0.0,12
282580,2823,0.0,12
282590,2823,0.0,12
282710,2823,0.0,12
282720,2823,0.0,12
282731,2823,0.0,12
282732,2823,0.0,12
282733,2823,0.0,12
282734,2823,0.0,12
282735,2823,0.0,12
282736,2823,0.0,12
282737,2823,0.0,12
282738,2823,0.0,12
282739,2823,0.0,12
282741,2823,0.0,12
282749,2823,0.0,12
282751,2823,0.0,12
282759,2823,0.0,12
282760,2823,0.0,12
283010,2823,0.0,12
283020,2823,0.0,12
283030,2823,0.0,12
283090,2823,0.0,12
283110,2823,0.0,12
283190,2823,0.0,12
283210,2823,0.0,12
283220,2823,0.0,12
283230,2823,0.0,12
283311,2823,0.0,12
283319,2823,0.0,12
283321,2823,0.0,12
283322,2823,0.0,12
283323,2823,0.0,12
283324,2823,0.0,12
283325,2823,0.0,12
283326,2823,0.0,12
283327,2823,0.0,12
283329,2823,0.0,12
283330,2823,0.0,12
283340,2823,0.0,12
283410,2823,0.0,12
283421,2823,0.0,12
283422,2823,0.0,12
283429,2823,0.0,12
283510,2823,0.0,12
283521,2823,0.0,12
283522,2823,0.0,12
283523,2823,0.0,12
283524,2823,0.0,12
283525,2823,0.0,12
283526,2823,0.0,12
283529,2823,0.0,12
283531,2823,0.0,12
283539,2823,0.0,12
283711,2823,0.0,12
283719,2823,0.0,12
283720,2823,0.0,12
283800,2823,0.0,12
283911,2823,0.0,12
283919,2823,0.0,12
283920,2823,0.0,12
283990,2823,0.0,12
284011,2823,0.0,12
284019,2823,0.0,12
284020,2823,0.0,12
284030,2823,0.0,12
284110,2823,0.0,12
284120,2823,0.0,12
284130,2823,0.0,12
284140,2823,0.0,12
284150,2823,0.0,12
284160,2823,0.0,12
284170,2823,0.0,12
284180,2823,0.0,12
284190,2823,0.0,12
284210,2823,0.0,12
284290,2823,0.0,12
284310,2823,0.0,12
284321,2823,0.0,12
284329,2823,0.0,12
284330,2823,0.0,12
284390,2823,0.0,12
284700,2823,0.0,12
284810,2823,0.0,12
284890,2823,0.0,12
284910,2823,0.0,12
284920,2823,0.0,12
284990,2823,0.0,12
285000,2823,0.0,12
285100,2823,0.0,12
291211,2823,0.0,12
291212,2823,0.0,12
291213,2823,0.0,12
291219,2823,0.0,12
291221,2823,0.0,12
291229,2823,0.0,12
291230,2823,0.0,12
291241,2823,0.0,12
291242,2823,0.0,12
291249,2823,0.0,12
291250,2823,0.0,12
291260,2823,0.0,12
291300,2823,0.0,12
291411,2823,0.0,12
291412,2823,0.0,12
291413,2823,0.0,12
291419,2823,0.0,12
291421,2823,0.0,12
291422,2823,0.0,12
291423,2823,0.0,12
291429,2823,0.0,12
291430,2823,0.0,12
291441,2823,0.0,12
291449,2823,0.0,12
291450,2823,0.0,12
291461,2823,0.0,12
291469,2823,0.0,12
291470,2823,0.0,12
291811,2823,0.0,12
291812,2823,0.0,12
291813,2823,0.0,12
291814,2823,0.0,12
291815,2823,0.0,12
291816,2823,0.0,12
291817,2823,0.0,12
291819,2823,0.0,12
291821,2823,0.0,12
291822,2823,0.0,12
291823,2823,0.0,12
291829,2823,0.0,12
291830,2823,0.0,12
291890,2823,0.0,12
292211,2823,0.0,12
292212,2823,0.0,12
292213,2823,0.0,12
292219,2823,0.0,12
292221,2823,0.0,12
292222,2823,0.0,12
292229,2823,0.0,12
292230,2823,0.0,12
292241,2823,0.0,12
292242,2823,0.0,12
292249,2823,0.0,12
292250,2823,0.0,12
293100,2823,0.0,12
293211,2823,0.0,12
293212,2823,0.0,12
293213,2823,0.0,12
293219,2823,0.0,12
293221,2823,0.0,12
293229,2823,0.0,12
293290,2823,0.0,12
293311,2823,0.0,12
293319,2823,0.0,12
293321,2823,0.0,12
293329,2823,0.0,12
293331,2823,0.0,12
293339,2823,0.0,12
293340,2823,0.0,12
293351,2823,0.0,12
293359,2823,0.0,12
293361,2823,0.0,12
293369,2823,0.0,12
293371,2823,0.0,12
293379,2823,0.0,12
293390,2823,0.0,12
293410,2823,0.0,12
293420,2823,0.0,12
293430,2823,0.0,12
293490,2823,0.0,12
293710,2823,0.0,12
293721,2823,0.0,12
293722,2823,0.0,12
293729,2823,0.0,12
293791,2823,0.0,12
293792,2823,0.0,12
293799,2823,0.0,12
293810,2823,0.0,12
293890,2823,0.0,12
300110,2823,0.0,12
300120,2823,0.0,12
300190,2823,0.0,12
300210,2823,0.0,12
300220,2823,0.0,12
300231,2823,0.0,12
300239,2823,0.0,12
300290,2823,0.0,12
300310,2823,0.0,12
300320,2823,0.0,12
300331,2823,0.0,12
300339,2823,0.0,12
300340,2823,0.0,12
300390,2823,0.0,12
300410,2823,0.0,12
300420,2823,0.0,12
300431,2823,0.0,12
300432,2823,0.0,12
300439,2823,0.0,12
300440,2823,0.0,12
300450,2823,0.0,12
300490,2823,0.0,12
300510,2823,0.0,12
300590,2823,0.0,12
300610,2823,0.0,12
300620,2823,0.0,12
300630,2823,0.0,12
300640,2823,0.0,12
300650,2823,0.0,12
300660,2823,0.0,12
320110,2823,0.0,12
320120,2823,0.0,12
320130,2823,0.0,12
